database,metric_file,precision,recall,f1,relaxed_precision,relaxed_recall,relaxed_f1,textual_precision,textual_recall,textual_f1,raw_content
ERP-V019,001_prompt-01-baseline.txt_METRICS.txt,0.0,0.0,0,0.4,0.4,0.4,0.4,0.4,0.4,
ERP-V019,001_prompt-02-persona.txt_METRICS.txt,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,
ERP-V019,001_prompt-04-chain-of-thought.txt_METRICS.txt,0.0,0.0,0,0.0,0.0,0,0.6,0.6,0.6,
ERP-V019,001_prompt-05-tree-of-thought.txt_METRICS.txt,0.0,0.0,0,0.4,0.4,0.4,1.0,0.357,0.526,
ERP-V019,001_prompt-06-processmining-knowledge.txt_METRICS.txt,0.0,0.0,0,0.0,0.0,0,0.8,0.8,0.8,
ERP-V019,001_prompt-07-paperj.txt_METRICS.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
ERP-V019,002_prompt-01-baseline.txt_METRICS.txt,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,
ERP-V019,002_prompt-02-persona.txt_METRICS.txt,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,
ERP-V019,002_prompt-04-chain-of-thought.txt_METRICS.txt,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,
ERP-V019,002_prompt-05-tree-of-thought.txt_METRICS.txt,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,
ERP-V019,002_prompt-06-processmining-knowledge.txt_METRICS.txt,0.0,0.0,0,0.0,0.0,0,0.8,0.8,0.8,
ERP-V019,002_prompt-07-paperj.txt_METRICS.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
ERP-V209,001_prompt-01-baseline.txt_METRICS.txt,0.0,0.0,0,0.333,0.4,0.364,0.667,0.667,0.667,
ERP-V209,001_prompt-02-persona.txt_METRICS.txt,0.0,0.0,0,0.333,0.4,0.364,0.333,0.333,0.333,
ERP-V209,001_prompt-04-chain-of-thought.txt_METRICS.txt,0.0,0.0,0,0.0,0.0,0,1.0,0.75,0.857,
ERP-V209,001_prompt-05-tree-of-thought.txt_METRICS.txt,0.0,0.0,0,0.333,0.4,0.364,0.667,0.667,0.667,
ERP-V209,001_prompt-06-processmining-knowledge.txt_METRICS.txt,,,,,,,,,,{}
ERP-V209,001_prompt-07-paperj.txt_METRICS.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
ERP-V209,002_prompt-01-baseline.txt_METRICS.txt,0.0,0.0,0,0.333,0.4,0.364,0.667,0.667,0.667,
ERP-V209,002_prompt-02-persona.txt_METRICS.txt,0.0,0.0,0,0.333,0.4,0.364,0.333,0.333,0.333,
ERP-V209,002_prompt-04-chain-of-thought.txt_METRICS.txt,0.0,0.0,0,0.0,0.0,0,1.0,0.75,0.857,
ERP-V209,002_prompt-05-tree-of-thought.txt_METRICS.txt,0.0,0.0,0,0.333,0.4,0.364,0.667,0.667,0.667,
ERP-V209,002_prompt-06-processmining-knowledge.txt_METRICS.txt,,,,,,,,,,{}
ERP-V209,002_prompt-07-paperj.txt_METRICS.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
ERP-V511,001_prompt-01-baseline.txt_METRICS.txt,0.0,0.0,0,0.167,0.2,0.182,0.167,0.167,0.167,
ERP-V511,001_prompt-02-persona.txt_METRICS.txt,0.0,0.0,0,0.167,0.2,0.182,0.167,0.167,0.167,
