Database,Prompt,precision,recall,f1,relaxed_precision,relaxed_recall,relaxed_f1,textual_precision,textual_recall,textual_f1
BPI2016-V07,01-baseline,0.067,0.067,0.067,1.0,1.0,1.0,0.067,0.067,0.067
BPI2016-V07,02-persona,0.067,0.067,0.067,1.0,1.0,1.0,0.067,0.067,0.067
BPI2016-V07,03-few-shot-example,0.0,0.0,0.0,1.0,1.0,1.0,0.233,0.233,0.233
BPI2016-V07,04-chain-of-thought,0.067,0.067,0.067,1.0,1.0,1.0,0.067,0.067,0.067
BPI2016-V07,05-tree-of-thought,0.0,0.0,0.0,1.0,1.0,1.0,0.233,0.233,0.233
BPI2016-V07,06-processmining-knowledge,0.0,0.0,0.0,1.0,0.536,0.698,0.067,0.036,0.047
BPI2016-V07,07-BPI2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BPI2016-V07,01-baseline,0.067,0.067,0.067,1.0,1.0,1.0,0.067,0.067,0.067
BPI2016-V07,02-persona,0.067,0.067,0.067,1.0,1.0,1.0,0.067,0.067,0.067
BPI2016-V07,03-few-shot-example,0.0,0.0,0.0,1.0,1.0,1.0,0.233,0.233,0.233
BPI2016-V07,04-chain-of-thought,0.067,0.067,0.067,1.0,1.0,1.0,0.067,0.067,0.067
BPI2016-V07,05-tree-of-thought,0.067,0.067,0.067,1.0,1.0,1.0,0.067,0.067,0.067
BPI2016-V07,06-processmining-knowledge,0.0,0.0,0.0,1.0,0.536,0.698,0.0,0.0,0.0
BPI2016-V07,07-BPI2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BPI2016-V07,01-baseline,0.067,0.067,0.067,1.0,1.0,1.0,0.067,0.067,0.067
BPI2016-V07,02-persona,0.067,0.067,0.067,1.0,1.0,1.0,0.067,0.067,0.067
BPI2016-V07,03-few-shot-example,0.0,0.0,0.0,1.0,1.0,1.0,0.233,0.233,0.233
BPI2016-V07,04-chain-of-thought,0.067,0.067,0.067,1.0,1.0,1.0,0.067,0.067,0.067
BPI2016-V07,05-tree-of-thought,0.067,0.067,0.067,1.0,1.0,1.0,0.067,0.067,0.067
BPI2016-V07,06-processmining-knowledge,0.067,0.067,0.067,1.0,1.0,1.0,0.067,0.067,0.067
BPI2016-V07,07-BPI2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BPI2016-V24,01-baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BPI2016-V24,02-persona,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BPI2016-V24,03-few-shot-example,0.0,0.0,0.0,0.632,0.632,0.632,0.016,0.016,0.016
BPI2016-V24,04-chain-of-thought,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BPI2016-V24,05-tree-of-thought,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BPI2016-V24,06-processmining-knowledge,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BPI2016-V24,07-BPI2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BPI2016-V24,01-baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BPI2016-V24,02-persona,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BPI2016-V24,03-few-shot-example,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPI2016-V24,04-chain-of-thought,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BPI2016-V24,05-tree-of-thought,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BPI2016-V24,06-processmining-knowledge,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BPI2016-V24,07-BPI2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BPI2016-V24,01-baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BPI2016-V24,02-persona,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BPI2016-V24,03-few-shot-example,0.0,0.0,0.0,0.632,0.632,0.632,0.016,0.016,0.016
BPI2016-V24,04-chain-of-thought,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BPI2016-V24,05-tree-of-thought,0.632,0.632,0.632,0.632,0.632,0.632,1.0,1.0,1.0
BPI2016-V24,06-processmining-knowledge,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BPI2016-V24,07-BPI2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BPI2016-V31,01-baseline,0.007,0.007,0.007,0.671,0.671,0.671,0.375,0.375,0.375
BPI2016-V31,02-persona,0.0,0.0,0.0,0.671,0.671,0.671,0.029,0.029,0.029
BPI2016-V31,03-few-shot-example,0.0,0.0,0.0,0.671,0.671,0.671,0.043,0.043,0.043
BPI2016-V31,04-chain-of-thought,0.0,0.0,0.0,0.671,0.671,0.671,0.043,0.043,0.043
BPI2016-V31,05-tree-of-thought,0.0,0.0,0.0,0.671,0.671,0.671,0.029,0.029,0.029
BPI2016-V31,06-processmining-knowledge,,,,,,,,,
BPI2016-V31,07-BPI2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BPI2016-V31,01-baseline,0.007,0.007,0.007,0.671,0.671,0.671,0.375,0.375,0.375
BPI2016-V31,02-persona,0.0,0.0,0.0,0.671,0.671,0.671,0.043,0.043,0.043
BPI2016-V31,03-few-shot-example,0.0,0.0,0.0,0.671,0.671,0.671,0.043,0.043,0.043
BPI2016-V31,04-chain-of-thought,0.0,0.0,0.0,0.671,0.671,0.671,0.029,0.029,0.029
BPI2016-V31,05-tree-of-thought,0.0,0.0,0.0,0.671,0.671,0.671,0.029,0.029,0.029
BPI2016-V31,06-processmining-knowledge,,,,,,,,,
BPI2016-V31,07-BPI2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BPI2016-V31,01-baseline,0.0,0.0,0.0,0.671,0.671,0.671,0.029,0.029,0.029
