Database,Prompt,precision,recall,f1,relaxed_precision,relaxed_recall,relaxed_f1,textual_precision,textual_recall,textual_f1
BPI2016-V07,01-baseline,0.067,0.067,0.067,1.0,1.0,1.0,0.067,0.067,0.067
BPI2016-V07,02-persona,0.067,0.067,0.067,1.0,1.0,1.0,0.067,0.067,0.067
BPI2016-V07,03-few-shot-example,0.0,0.0,0.0,1.0,1.0,1.0,0.233,0.233,0.233
BPI2016-V07,04-chain-of-thought,0.067,0.067,0.067,1.0,1.0,1.0,0.067,0.067,0.067
BPI2016-V07,05-tree-of-thought,0.04466666666666667,0.04466666666666667,0.04466666666666667,1.0,1.0,1.0,0.12233333333333334,0.12233333333333334,0.12233333333333334
BPI2016-V07,06-processmining-knowledge,0.022333333333333334,0.022333333333333334,0.022333333333333334,1.0,0.6906666666666667,0.7986666666666666,0.04466666666666667,0.034333333333333334,0.038
BPI2016-V07,07-BPI2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BPI2016-V24,01-baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BPI2016-V24,02-persona,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BPI2016-V24,03-few-shot-example,0.0,0.0,0.0,0.42133333333333334,0.42133333333333334,0.42133333333333334,0.010666666666666666,0.010666666666666666,0.010666666666666666
BPI2016-V24,04-chain-of-thought,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BPI2016-V24,05-tree-of-thought,0.21066666666666667,0.21066666666666667,0.21066666666666667,0.21066666666666667,0.21066666666666667,0.21066666666666667,1.0,1.0,1.0
BPI2016-V24,06-processmining-knowledge,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BPI2016-V24,07-BPI2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BPI2016-V31,01-baseline,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.6709999999999999,0.6709999999999999,0.6709999999999999,0.25966666666666666,0.25966666666666666,0.25966666666666666
BPI2016-V31,02-persona,0.0,0.0,0.0,0.6709999999999999,0.6709999999999999,0.6709999999999999,0.03833333333333333,0.03833333333333333,0.03833333333333333
BPI2016-V31,03-few-shot-example,0.0,0.0,0.0,0.6709999999999999,0.6709999999999999,0.6709999999999999,0.043000000000000003,0.043000000000000003,0.043000000000000003
BPI2016-V31,04-chain-of-thought,0.0,0.0,0.0,0.6709999999999999,0.6709999999999999,0.6709999999999999,0.03833333333333333,0.03833333333333333,0.03833333333333333
BPI2016-V31,05-tree-of-thought,0.0,0.0,0.0,0.6709999999999999,0.6709999999999999,0.6709999999999999,0.029,0.029,0.029
BPI2016-V31,06-processmining-knowledge,,,,,,,,,
BPI2016-V31,07-BPI2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
