Database,Prompt,precision,recall,f1,relaxed_precision,relaxed_recall,relaxed_f1,textual_precision,textual_recall,textual_f1
paperj-V019,01-baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paperj-V019,02-persona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paperj-V019,03-few-shot-example,0.4,0.2,0.267,0.4,0.4,0.4,1.0,0.357,0.526
paperj-V019,04-chain-of-thought,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paperj-V019,05-tree-of-thought,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paperj-V019,06-processmining-knowledge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paperj-V019,07-paperj,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
paperj-V019,01-baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6
paperj-V019,02-persona,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.143,0.211
paperj-V019,03-few-shot-example,,,,,,,,,
paperj-V019,04-chain-of-thought,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paperj-V019,05-tree-of-thought,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6
paperj-V019,06-processmining-knowledge,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.714,0.833
paperj-V019,07-paperj,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
paperj-V019,01-baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6
paperj-V019,02-persona,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4
paperj-V019,03-few-shot-example,0.4,0.2,0.267,0.4,0.4,0.4,1.0,0.357,0.526
paperj-V019,04-chain-of-thought,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paperj-V019,05-tree-of-thought,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6
paperj-V019,06-processmining-knowledge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paperj-V019,07-paperj,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
paperj-V209,01-baseline,0.333,0.222,0.267,1.0,0.667,0.8,1.0,0.667,0.8
paperj-V209,02-persona,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.857
paperj-V209,03-few-shot-example,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
paperj-V209,04-chain-of-thought,0.333,0.222,0.267,1.0,0.667,0.8,1.0,0.667,0.8
paperj-V209,05-tree-of-thought,0.333,0.4,0.364,0.333,0.4,0.364,1.0,1.0,1.0
paperj-V209,06-processmining-knowledge,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.308,0.421
paperj-V209,07-paperj,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
paperj-V209,01-baseline,0.333,0.2,0.25,0.333,0.4,0.364,1.0,0.462,0.632
paperj-V209,02-persona,0.333,0.4,0.364,0.333,0.4,0.364,1.0,1.0,1.0
paperj-V209,03-few-shot-example,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
paperj-V209,04-chain-of-thought,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.857
paperj-V209,05-tree-of-thought,0.333,0.4,0.364,0.333,0.4,0.364,1.0,1.0,1.0
paperj-V209,06-processmining-knowledge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paperj-V209,07-paperj,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
paperj-V209,01-baseline,0.333,0.222,0.267,1.0,0.667,0.8,1.0,0.667,0.8
paperj-V209,02-persona,0.333,0.222,0.267,0.333,0.222,0.267,1.0,0.667,0.8
paperj-V209,03-few-shot-example,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
paperj-V209,04-chain-of-thought,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.857
paperj-V209,05-tree-of-thought,0.333,0.4,0.364,0.333,0.4,0.364,1.0,1.0,1.0
paperj-V209,06-processmining-knowledge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paperj-V209,07-paperj,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
paperj-V511,01-baseline,0.0,0.0,0.0,0.167,0.2,0.182,0.583,0.583,0.583
paperj-V511,02-persona,0.0,0.0,0.0,0.167,0.2,0.182,0.167,0.167,0.167
paperj-V511,03-few-shot-example,0.167,0.5,0.25,0.167,0.5,0.25,0.417,0.417,0.417
paperj-V511,04-chain-of-thought,0.0,0.0,0.0,0.167,0.2,0.182,0.25,0.25,0.25
paperj-V511,05-tree-of-thought,0.0,0.0,0.0,0.167,0.2,0.182,0.167,0.167,0.167
paperj-V511,06-processmining-knowledge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paperj-V511,07-paperj,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
paperj-V511,01-baseline,0.0,0.0,0.0,0.167,0.2,0.182,0.583,0.583,0.583
paperj-V511,02-persona,0.0,0.0,0.0,0.167,0.2,0.182,0.167,0.167,0.167
paperj-V511,03-few-shot-example,0.167,0.5,0.25,0.167,0.5,0.25,0.417,0.417,0.417
paperj-V511,04-chain-of-thought,0.0,0.0,0.0,0.167,0.2,0.182,0.583,0.583,0.583
paperj-V511,05-tree-of-thought,0.0,0.0,0.0,0.167,0.2,0.182,0.167,0.167,0.167
paperj-V511,06-processmining-knowledge,,,,,,,,,
paperj-V511,07-paperj,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
paperj-V511,01-baseline,0.0,0.0,0.0,0.167,0.2,0.182,0.583,0.583,0.583
paperj-V511,02-persona,0.0,0.0,0.0,0.167,0.2,0.182,0.167,0.167,0.167
paperj-V511,03-few-shot-example,0.167,0.5,0.25,0.167,0.5,0.25,0.417,0.417,0.417
paperj-V511,04-chain-of-thought,0.0,0.0,0.0,0.167,0.2,0.182,0.583,0.583,0.583
paperj-V511,05-tree-of-thought,0.0,0.0,0.0,0.167,0.2,0.182,0.583,0.583,0.583
paperj-V511,06-processmining-knowledge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paperj-V511,07-paperj,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
