Database,Prompt,precision,recall,f1,relaxed_precision,relaxed_recall,relaxed_f1,textual_precision,textual_recall,textual_f1
paperj-V019,01-baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.39999999999999997,0.39999999999999997,0.39999999999999997
paperj-V019,02-persona,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.18100000000000002,0.20366666666666666
paperj-V019,03-few-shot-example,0.4,0.2,0.267,0.4,0.4,0.4,1.0,0.357,0.526
paperj-V019,04-chain-of-thought,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paperj-V019,05-tree-of-thought,0.0,0.0,0.0,0.0,0.0,0.0,0.39999999999999997,0.39999999999999997,0.39999999999999997
paperj-V019,06-processmining-knowledge,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.238,0.2776666666666667
paperj-V019,07-paperj,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
paperj-V209,01-baseline,0.333,0.21466666666666667,0.26133333333333336,0.7776666666666667,0.578,0.6546666666666666,1.0,0.5986666666666667,0.7440000000000001
paperj-V209,02-persona,0.222,0.20733333333333334,0.21033333333333334,0.222,0.20733333333333334,0.21033333333333334,1.0,0.8056666666666666,0.8856666666666667
paperj-V209,03-few-shot-example,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
paperj-V209,04-chain-of-thought,0.111,0.074,0.08900000000000001,0.3333333333333333,0.22233333333333336,0.26666666666666666,1.0,0.7223333333333333,0.8380000000000001
paperj-V209,05-tree-of-thought,0.333,0.4000000000000001,0.36400000000000005,0.333,0.4000000000000001,0.36400000000000005,1.0,1.0,1.0
paperj-V209,06-processmining-knowledge,0.0,0.0,0.0,0.0,0.0,0.0,0.22233333333333336,0.10266666666666667,0.14033333333333334
paperj-V209,07-paperj,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
paperj-V511,01-baseline,0.0,0.0,0.0,0.167,0.20000000000000004,0.18200000000000002,0.583,0.583,0.583
paperj-V511,02-persona,0.0,0.0,0.0,0.167,0.20000000000000004,0.18200000000000002,0.167,0.167,0.167
paperj-V511,03-few-shot-example,0.167,0.5,0.25,0.167,0.5,0.25,0.417,0.417,0.417
paperj-V511,04-chain-of-thought,0.0,0.0,0.0,0.167,0.20000000000000004,0.18200000000000002,0.472,0.472,0.472
paperj-V511,05-tree-of-thought,0.0,0.0,0.0,0.167,0.20000000000000004,0.18200000000000002,0.3056666666666667,0.3056666666666667,0.3056666666666667
paperj-V511,06-processmining-knowledge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paperj-V511,07-paperj,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
