Database,Prompt,precision,recall,f1,relaxed_precision,relaxed_recall,relaxed_f1,textual_precision,textual_recall,textual_f1
RunningExample-V03,01-baseline,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,02-persona,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,03-few-shot-example,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,04-chain-of-thought,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,05-tree-of-thought,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,06-processmining-knowledge,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
RunningExample-V03,07-RunningExample,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,01-baseline,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,02-persona,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,03-few-shot-example,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,04-chain-of-thought,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,05-tree-of-thought,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,06-processmining-knowledge,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
RunningExample-V03,07-RunningExample,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,01-baseline,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,02-persona,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,03-few-shot-example,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,04-chain-of-thought,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,05-tree-of-thought,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,06-processmining-knowledge,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
RunningExample-V03,07-RunningExample,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V15,01-baseline,0.0,0.0,0.0,0.769,0.769,0.769,0.769,0.769,0.769
RunningExample-V15,02-persona,0.0,0.0,0.0,0.769,0.769,0.769,0.769,0.769,0.769
RunningExample-V15,03-few-shot-example,0.769,0.769,0.769,0.769,0.769,0.769,1.0,1.0,1.0
RunningExample-V15,04-chain-of-thought,0.0,0.0,0.0,0.769,0.769,0.769,0.769,0.769,0.769
RunningExample-V15,05-tree-of-thought,0.0,0.0,0.0,0.462,0.462,0.462,0.462,0.462,0.462
RunningExample-V15,06-processmining-knowledge,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
RunningExample-V15,07-RunningExample,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V15,01-baseline,0.0,0.0,0.0,0.769,0.769,0.769,0.769,0.769,0.769
RunningExample-V15,02-persona,0.0,0.0,0.0,0.769,0.769,0.769,0.769,0.769,0.769
RunningExample-V15,03-few-shot-example,0.769,0.769,0.769,0.769,0.769,0.769,1.0,1.0,1.0
RunningExample-V15,04-chain-of-thought,0.0,0.0,0.0,0.769,0.769,0.769,0.769,0.769,0.769
RunningExample-V15,05-tree-of-thought,0.0,0.0,0.0,0.462,0.462,0.462,0.692,0.692,0.692
