Database,Prompt,precision,recall,f1,relaxed_precision,relaxed_recall,relaxed_f1,textual_precision,textual_recall,textual_f1
RunningExample-V03,01-baseline,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,02-persona,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,03-few-shot-example,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,04-chain-of-thought,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,05-tree-of-thought,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V03,06-processmining-knowledge,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
RunningExample-V03,07-RunningExample,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V15,01-baseline,0.0,0.0,0.0,0.769,0.769,0.769,0.769,0.769,0.769
RunningExample-V15,02-persona,0.0,0.0,0.0,0.769,0.769,0.769,0.769,0.769,0.769
RunningExample-V15,03-few-shot-example,0.769,0.769,0.769,0.769,0.769,0.769,1.0,1.0,1.0
RunningExample-V15,04-chain-of-thought,0.0,0.0,0.0,0.769,0.769,0.769,0.769,0.769,0.769
RunningExample-V15,05-tree-of-thought,0.0,0.0,0.0,0.462,0.462,0.462,0.6153333333333333,0.6153333333333333,0.6153333333333333
RunningExample-V15,06-processmining-knowledge,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
RunningExample-V15,07-RunningExample,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V63,01-baseline,0.0,0.0,0.0,0.8460000000000001,0.5499999999999999,0.6666666666666666,0.8460000000000001,0.5236666666666666,0.6469999999999999
RunningExample-V63,02-persona,0.0,0.0,0.0,0.769,0.5,0.606,0.769,0.476,0.588
RunningExample-V63,03-few-shot-example,0.462,0.45766666666666667,0.4483333333333334,0.462,0.4723333333333333,0.45766666666666667,0.6919999999999998,0.5833333333333334,0.6306666666666666
RunningExample-V63,04-chain-of-thought,0.769,0.476,0.588,0.769,0.588,0.667,1.0,0.619,0.765
RunningExample-V63,05-tree-of-thought,0.0,0.0,0.0,0.769,0.5,0.606,0.769,0.476,0.588
RunningExample-V63,06-processmining-knowledge,0.436,0.4666666666666666,0.4493333333333333,0.436,0.4666666666666666,0.4493333333333333,0.5896666666666667,0.5896666666666667,0.5896666666666667
RunningExample-V63,07-RunningExample,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
