Database,Prompt,precision,recall,f1,relaxed_precision,relaxed_recall,relaxed_f1,textual_precision,textual_recall,textual_f1
UWV-V06,01-baseline,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,02-persona,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,03-few-shot-example,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UWV-V06,04-chain-of-thought,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,05-tree-of-thought,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,06-processmining-knowledge,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,07-UWV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,01-baseline,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,02-persona,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,03-few-shot-example,0.0,0.0,0.0,0.636,1.0,0.778,0.636,0.5,0.56
UWV-V06,04-chain-of-thought,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,05-tree-of-thought,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,06-processmining-knowledge,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,07-UWV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,01-baseline,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,02-persona,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,03-few-shot-example,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UWV-V06,04-chain-of-thought,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,05-tree-of-thought,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,06-processmining-knowledge,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,07-UWV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V22,01-baseline,0.333,0.333,0.333,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V22,02-persona,0.333,0.333,0.333,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V22,03-few-shot-example,0.0,0.0,0.0,1.0,1.0,1.0,0.879,0.879,0.879
UWV-V22,04-chain-of-thought,0.333,0.333,0.333,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V22,05-tree-of-thought,0.333,0.355,0.344,1.0,0.893,0.943,0.333,0.282,0.306
UWV-V22,06-processmining-knowledge,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V22,07-UWV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V22,01-baseline,0.333,0.333,0.333,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V22,02-persona,0.333,0.333,0.333,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V22,03-few-shot-example,0.0,0.0,0.0,1.0,1.0,1.0,0.879,0.879,0.879
UWV-V22,04-chain-of-thought,0.333,0.333,0.333,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V22,05-tree-of-thought,0.333,0.355,0.344,1.0,0.893,0.943,0.333,0.282,0.306
UWV-V22,06-processmining-knowledge,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V22,07-UWV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V22,01-baseline,0.333,0.333,0.333,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V22,02-persona,0.333,0.333,0.333,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V22,03-few-shot-example,0.0,0.0,0.0,1.0,1.0,1.0,0.879,0.879,0.879
UWV-V22,04-chain-of-thought,0.333,0.333,0.333,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V22,05-tree-of-thought,0.333,0.282,0.306,1.0,0.893,0.943,1.0,0.846,0.917
UWV-V22,06-processmining-knowledge,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V22,07-UWV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V31,01-baseline,0.465,0.408,0.435,1.0,0.921,0.959,0.977,0.857,0.913
UWV-V31,02-persona,0.465,0.408,0.435,1.0,0.921,0.959,0.977,0.857,0.913
UWV-V31,03-few-shot-example,0.0,0.0,0.0,1.0,0.921,0.959,0.907,0.796,0.848
UWV-V31,04-chain-of-thought,0.465,0.408,0.435,1.0,0.921,0.959,0.977,0.857,0.913
UWV-V31,05-tree-of-thought,0.465,0.408,0.435,1.0,0.921,0.959,0.977,0.857,0.913
UWV-V31,06-processmining-knowledge,0.977,0.857,0.913,1.0,0.921,0.959,1.0,0.878,0.935
UWV-V31,07-UWV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V31,01-baseline,0.465,0.408,0.435,1.0,0.921,0.959,0.977,0.857,0.913
UWV-V31,02-persona,0.465,0.408,0.435,1.0,0.921,0.959,0.977,0.857,0.913
UWV-V31,03-few-shot-example,0.0,0.0,0.0,1.0,0.921,0.959,0.907,0.796,0.848
UWV-V31,04-chain-of-thought,0.465,0.408,0.435,1.0,0.921,0.959,0.977,0.857,0.913
UWV-V31,05-tree-of-thought,0.465,0.408,0.435,1.0,0.921,0.959,0.977,0.857,0.913
UWV-V31,06-processmining-knowledge,0.977,0.857,0.913,1.0,0.921,0.959,1.0,0.878,0.935
UWV-V31,07-UWV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V31,01-baseline,0.465,0.408,0.435,1.0,0.921,0.959,0.977,0.857,0.913
UWV-V31,02-persona,0.465,0.408,0.435,1.0,0.921,0.959,0.977,0.857,0.913
UWV-V31,03-few-shot-example,0.0,0.0,0.0,1.0,0.921,0.959,1.0,0.878,0.935
UWV-V31,04-chain-of-thought,0.465,0.408,0.435,1.0,0.921,0.959,0.977,0.857,0.913
UWV-V31,05-tree-of-thought,0.465,0.408,0.435,1.0,0.921,0.959,0.977,0.857,0.913
UWV-V31,06-processmining-knowledge,1.0,0.878,0.935,1.0,0.921,0.959,1.0,0.878,0.935
UWV-V31,07-UWV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
