Database,Prompt,precision,recall,f1,relaxed_precision,relaxed_recall,relaxed_f1,textual_precision,textual_recall,textual_f1
UWV-V06,01-baseline,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,02-persona,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,03-few-shot-example,0.0,0.0,0.0,0.212,0.3333333333333333,0.25933333333333336,0.212,0.16666666666666666,0.18666666666666668
UWV-V06,04-chain-of-thought,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,05-tree-of-thought,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,06-processmining-knowledge,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V06,07-UWV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V22,01-baseline,0.333,0.333,0.333,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V22,02-persona,0.333,0.333,0.333,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V22,03-few-shot-example,0.0,0.0,0.0,1.0,1.0,1.0,0.879,0.879,0.879
UWV-V22,04-chain-of-thought,0.333,0.333,0.333,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V22,05-tree-of-thought,0.333,0.33066666666666666,0.3313333333333333,1.0,0.8930000000000001,0.943,0.5553333333333333,0.47,0.5096666666666666
UWV-V22,06-processmining-knowledge,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V22,07-UWV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWV-V31,01-baseline,0.465,0.408,0.435,1.0,0.9209999999999999,0.959,0.977,0.8569999999999999,0.9129999999999999
UWV-V31,02-persona,0.465,0.408,0.435,1.0,0.9209999999999999,0.959,0.977,0.8569999999999999,0.9129999999999999
UWV-V31,03-few-shot-example,0.0,0.0,0.0,1.0,0.9209999999999999,0.959,0.9380000000000001,0.8233333333333334,0.8770000000000001
UWV-V31,04-chain-of-thought,0.465,0.408,0.435,1.0,0.9209999999999999,0.959,0.977,0.8569999999999999,0.9129999999999999
UWV-V31,05-tree-of-thought,0.465,0.408,0.435,1.0,0.9209999999999999,0.959,0.977,0.8569999999999999,0.9129999999999999
UWV-V31,06-processmining-knowledge,0.9846666666666666,0.864,0.9203333333333333,1.0,0.9209999999999999,0.959,1.0,0.878,0.935
UWV-V31,07-UWV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
