case_id,activity_id,timestamp
1945807,220,2016-01-12 00:00:00.000
733565,221,2016-01-12 00:00:00.000
2090828,41,2016-01-06 12:51:34.000
2090828,41,2015-10-12 09:27:10.000
733565,41,2015-12-09 10:55:00.000
733565,41,2015-12-23 14:17:04.000
1945807,41,2016-01-13 13:49:29.000
733565,41,2016-01-26 14:52:41.000
1945807,41,2016-01-12 12:11:15.000
2090828,41,2015-10-05 10:33:03.000
2090828,41,2015-10-22 15:33:22.000
733565,41,2016-01-22 11:04:52.000
2090828,41,2015-10-08 11:38:21.000
2090828,41,2015-10-14 12:41:57.000
2090828,31,2015-10-14 12:33:04.000
2090828,41,2015-10-22 15:39:47.000
2090828,31,2015-07-20 15:19:59.000
1945807,41,2015-07-21 10:48:46.000
2090828,41,2015-10-12 12:28:41.000
2090828,31,2015-07-20 14:57:48.000
2090828,41,2015-10-13 13:17:57.000
2090828,41,2015-09-28 15:48:07.000
733565,41,2015-12-11 11:22:04.000
2090828,41,2015-10-14 12:30:30.000
2090828,23116,2015-10-05 10:42:49.000
2090828,41,2015-10-08 13:16:11.000
2090828,41,2015-10-20 11:01:50.000
2090828,41,2015-10-20 11:13:17.000
1945807,Werkmap message,2016-01-09 16:00:53.000
733565,Werkmap message,2015-12-09 20:51:12.000
