case_id,activity_id,timestamp
o1,order,2017-08-11 10:33:37
o2,order,2017-08-13 16:18:15
c1,shipment,2017-08-14 11:36:35
c1,shipment,2017-08-16 14:15:31
c1,shipment,2017-08-19 13:22:04
ol1,shipment_line,2017-08-14 11:36:35
ol1,shipment_line,2017-08-16 14:15:31
ol2,shipment_line,2017-08-16 14:15:31
ol3,shipment_line,2017-08-19 13:22:04
ol4,shipment_line,2017-08-19 13:22:04
o1,order_line,2017-08-11 10:33:37
o1,order_line,2017-08-11 10:33:37
o2,order_line,2017-08-13 16:18:15
o2,order_line,2017-08-13 16:18:15
