case_id,activity_id,timestamp
c1,customer,
c2,customer,
o1,element_relation_order,
o1,element_relation_order,
o2,element_relation_order,
o2,element_relation_order,
i1,element_relation_invoice,
i2,element_relation_invoice,
i2,element_relation_invoice,
i3,element_relation_invoice,
i1,invoice,2017-08-15 09:13:27
i2,invoice,2017-08-17 17:38:36
i3,invoice,2017-08-23 14:23:19
o1,order,2017-08-11 10:33:37
o2,order,2017-08-13 16:18:15
o1,order_line,
o1,order_line,
o2,order_line,
o2,order_line,
p1,payment,2017-08-21 16:26:13
p2,payment,2017-08-26 14:53:49
p1,payment_line,
p1,payment_line,
p2,payment_line,
s1,shipment,2017-08-14 11:36:35
s2,shipment,2017-08-16 14:15:31
s3,shipment,2017-08-19 13:22:04
s1,shipment_line,
s2,shipment_line,
s2,shipment_line,
s3,shipment_line,
s3,shipment_line,
