case_id,activity_id,timestamp
order_id,order_creation,2017-08-11 10:33:37
order_id,order_creation,2017-08-13 16:18:15
order_id,order_creation,2017-08-15 22:02:53
order_id,order_creation,2017-08-17 02:18:12
o1,invoice_creation,2017-08-15 09:13:27
o2,invoice_creation,2017-08-17 17:38:36
o3,invoice_creation,2017-08-19 23:03:45
o4,invoice_creation,2017-08-21 14:25:04
i1,payment_creation,2017-08-21 16:26:13
i3,payment_creation,2017-08-23 18:42:09
i4,payment_creation,2017-08-25 20:52:10
o1,shipment_creation,2017-08-24 11:36:35
o4,shipment_creation,2017-08-30 09:45:31
