case_id,activity_id,timestamp
o1,Order Created,2017-08-11 10:33:37
o2,Order Created,2017-08-13 16:18:15
o3,Order Created,2017-08-15 22:02:53
o4,Order Created,2017-08-17 02:18:12
o1,Invoice Created,2017-08-15 09:13:27
o2,Invoice Created,2017-08-17 17:38:36
o3,Invoice Created,2017-08-19 23:03:45
o4,Invoice Created,2017-08-21 14:25:04
i1,Payment Made,2017-08-21 16:26:13
i3,Payment Made,2017-08-23 18:42:09
i4,Payment Made,2017-08-25 20:52:10
o1,Shipment Created,2017-08-24 11:36:35
o4,Shipment Created,2017-08-30 09:45:31
c1,Click Recorded,2017-08-11 10:33:37
c1,Click Recorded,2017-08-13 16:18:15
c2,Click Recorded,2017-08-15 22:02:53
c2,Click Recorded,2017-08-17 16:18:15
c1,Configuration Changed,2017-08-11 10:33:37
c2,Configuration Changed,2017-08-13 16:18:15
c3,Configuration Changed,2017-08-15 22:02:53
c4,Configuration Changed,2017-08-17 16:18:15
