case_id,activity_id,timestamp
16969436,T200_Event,2019-12-30 17:01:00.0000000
16981611,T200_Event,2019-12-05 08:50:00.0000000
16982614,T200_Event,2019-12-06 10:32:00.0000000
16982614,T200_Event,2019-12-10 10:44:00.0000000
16983477,T200_Event,2019-12-09 10:24:00.0000000
16983477,T200_Event,2019-12-18 14:49:00.0000000
16983477,T200_Event,2019-12-24 13:57:00.0000000
16969436,T300_Event,2019-12-30
16981611,T300_Event,2019-12-05
16982614,T300_Event,2019-12-03
16983477,T300_Event,2019-12-18
16969436,T500_Event_501,2020-01-01
16981611,T500_Event_501,2019-12-31
16982614,T500_Event_501,2019-12-02
16983477,T500_Event_501,2019-12-05
16969436,T500_Event_502,2019-12-27
16981611,T500_Event_502,2019-12-02
16982614,T500_Event_502,2019-12-02
16983477,T500_Event_502,2019-11-21
16969436,T500_Event_503,2019-12-30
16981611,T500_Event_503,2019-12-05
16982614,T500_Event_503,2019-12-09
16983477,T500_Event_503,2019-12-18
16969436,T500_Event_504,2020-02-04
16981611,T500_Event_504,2020-01-03
16982614,T500_Event_504,2020-01-02
16983477,T500_Event_504,2020-01-06
16969436,T500_Event_505,2020-01-01
16981611,T500_Event_505,2019-12-31
16982614,T500_Event_505,2019-12-02
16983477,T500_Event_505,2019-12-05
16983477,T500_Event_506,2020-03-05
16983477,T500_Event_507,2020-04-06
