case_id,activity_id,timestamp
16969436,A253,2019-12-30 17:01:00.0000000
16981611,A222,2019-12-05 08:50:00.0000000
16982614,A253,2019-12-06 10:32:00.0000000
16982614,A222,2019-12-10 10:44:00.0000000
16983477,A207,2019-12-09 10:24:00.0000000
16983477,A253,2019-12-18 14:49:00.0000000
16983477,A253,2019-12-24 13:57:00.0000000
16969436,A302,2019-12-30
16981611,A302,2019-12-05
16982614,A302,2019-12-03
16983477,A302,2019-12-18
16969436,2020-01-01,2020-01-01
16981611,2019-12-31,2019-12-31
16982614,2019-12-02,2019-12-02
16983477,2019-12-05,2019-12-05
16969436,2019-12-27,2019-12-27
16981611,2019-12-02,2019-12-02
16982614,2019-12-02,2019-12-02
16983477,2019-11-21,2019-11-21
16969436,2019-12-30,2019-12-30
16981611,2019-12-05,2019-12-05
16982614,2019-12-09,2019-12-09
16983477,2019-12-18,2019-12-18
16969436,2020-02-04,2020-02-04
16981611,2020-01-03,2020-01-03
16982614,2020-01-02,2020-01-02
16983477,2020-01-06,2020-01-06
16969436,2020-01-01,2020-01-01
16981611,2019-12-31,2019-12-31
16982614,2019-12-02,2019-12-02
16983477,2019-12-05,2019-12-05
16969436,,
16981611,,
16982614,,
16983477,2020-03-05,2020-03-05
16969436,,
16981611,,
16982614,,
16983477,2020-04-06,2020-04-06
