case_id,activity_id,timestamp
16969436,A109,2019-12-31 13:08:53.8270000
16969436,A136,2019-12-31 13:09:59.3870000
16981611,A136,2019-12-06 11:16:06.3300000
16981611,A109,2019-12-07 06:32:07.0970000
16982614,A131,2019-12-07 07:03:19.6370000
16982614,A109,2019-12-11 06:41:47.3730000
16982614,A136,2019-12-11 06:42:18.4300000
16983477,A136,2019-12-19 03:42:10.7800000
16983477,A109,2019-12-19 03:52:05.1000000
16969436,A253,2019-12-30 17:01:00.0000000
16981611,A222,2019-12-05 08:50:00.0000000
16982614,A253,2019-12-06 10:32:00.0000000
16982614,A222,2019-12-10 10:44:00.0000000
16983477,A207,2019-12-09 10:24:00.0000000
16983477,A253,2019-12-18 14:49:00.0000000
16983477,A253,2019-12-24 13:57:00.0000000
16969436,A302,2019-12-30
16981611,A302,2019-12-05
16982614,A302,2019-12-03
16983477,A302,2019-12-18
